Name,Price,Brand,Condition,Clusters
Toyota Land Cruiser Prado 2012 Fully Loaded 2010,116000.0,Toyota,Used,2
Daihatsu Boon 2017,39475.0,Daihatsu,Reconditioned,0
Honda Vezel 2014,39500.0,Honda,Used,0
Suzuki Wagon R FZ 2016,25000.0,Suzuki,Used,0
Toyota Land Cruiser Prado 2018,272500.0,Toyota,Used,1
Honda Civic 2018,69500.0,Honda,Used,4
Toyota Land Cruiser Sahara V8 DIESEL 2013,245000.0,Toyota,Reconditioned,1
Suzuki Swift 2006,19000.0,Suzuki,Used,0
Renault KWID AUTO Gear 2017,18500.0,Renault,Used,0
Suzuki Wagon R Stingray 2018,31500.0,Suzuki,Used,0
Honda Fit GP 4 RS Hybrid 2013,28400.0,Honda,Used,0
Toyota CHR BRUNO 2WD 2019,75000.0,Toyota,Reconditioned,4
Audi A4 2014,72500.0,Audi,Used,4
Micro Emgrand 2015,21325.0,Micro,Used,0
Toyota Prius S Grade 2009,30750.0,Toyota,Used,0
Nissan X-Trail Full options 2016,64000.0,Nissan,Used,4
Fiat Uno 1984,2750.0,Fiat,Used,0
Toyota Land Cruiser Prado 2003,59375.0,Toyota,Used,4
Mercedes Benz C180 Cabriolet 2017,140000.0,Mercedes Benz,Used,2
BMW X1 S Drive Diesel 2011,57250.0,BMW,Used,4
Toyota Prius S Grade 2015,42750.0,Toyota,Used,0
